
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, Fri Nov 15 2024
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, Fri Nov 15 2024
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, Fri Nov 15 2024
 /categories, https://fakestoreapi.com/products/category/women's clothing, 200, Fri Nov 15 2024
 /categories, https://fakestoreapi.com/products/category/jewelery, 200, Fri Nov 15 2024
 /categories, https://fakestoreapi.com/products/category/women's clothing, 200, 17:39:49 GMT+0330 (Iran Standard Time)
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, 17:39:50 GMT+0330 (Iran Standard Time)
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, 2024-11-15T14:10:22.104Z
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, 2024-11-15T14:10:23.008Z
 /categories, https://fakestoreapi.com/products/category/jewelery, 200, 2024-11-15T14:10:24.183Z
 /categories, https://fakestoreapi.com/products/category/women's clothing, 200, 2024-11-15T14:10:24.943Z
 /categories, https://fakestoreapi.com/products/category/electronics, 200, 2024-11-15T14:10:25.679Z
 /categories, https://fakestoreapi.com/products/categoryy/men's clothing, 404, 2024-11-15T14:10:49.200Z
 /categories, https://fakestoreapi.com/products/categoryy/women's clothing, 404, 2024-11-15T14:19:00.793Z
 /categories, https://fakestoreapi.com/products/categoryy/men's clothing, 404, 2024-11-15T14:19:04.032Z
 /categories, https://fakestoreapi.com/products/categoryy/jewelery, 404, 2024-11-15T14:19:05.080Z
 /categories, https://fakestoreapi.com/products/category/women's clothing, 200, 2024-11-15T14:19:22.385Z
 /categories, https://fakestoreapi.com/products/category/jewelery, 200, 2024-11-15T14:19:25.112Z
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, 2024-11-15T14:19:28.553Z
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, 2024-11-15T14:19:24.361Z
 /categories, https://fakestoreapi.com/products/category/women's clothing, 200, 2024-11-15T14:19:28.073Z
 /categories, https://fakestoreapi.com/products/category/jewelery, 200, 2024-11-15T14:19:28.976Z
 /categories, https://fakestoreapi.com/products/category/electronics, 200, 2024-11-15T14:19:26.145Z
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, 2024-11-15T14:19:27.576Z
 /categories, https://fakestoreapi.com/products/category/jewelery, 200, 2024-11-15T14:19:27.113Z
 /categories, https://fakestoreapi.com/products/category/women's clothing, 200, 2024-11-15T14:19:49.008Z
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, 2024-11-15T14:19:50.592Z
 /categories, https://fakestoreapi.com/products/category/women's clothing, undefined, 2024-11-15T14:21:02.000Z
 /categories, https://fakestoreapi.com/products/category/women's clothing, 200, 2024-11-15T14:21:48.985Z
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, 2024-11-15T14:21:50.208Z
 /categories, https://fakestoreapi.com/products/category/jewelery, 200, 2024-11-15T14:21:51.728Z
 /categories, https://fakestoreapi.com/products/category/electronics, 200, 2024-11-15T14:21:52.281Z
 /categories, https://fakestoreapi.com/products/category/jewelery, 200, 2024-11-15T14:21:52.792Z
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, 2024-11-15T14:21:53.264Z
 /categories, https://fakestoreapi.com/products/category/, 200, 2024-11-15T14:28:48.523Z
 /categories, https://fakestoreapi.com/products/category/, 200, 2024-11-15T14:28:51.990Z
 /categories, https://fakestoreapi.com/products/category/women's clothing, 200, 2024-11-15T14:29:07.978Z
 /categories, https://fakestoreapi.com/products/category/men's clothing, 200, 2024-11-15T14:29:18.404Z
 /categories, https://fakestoreapi.com/products/category/jewelery, 200, 2024-11-15T14:29:20.291Z
 /categories, https://fakestoreapi.com/products/category/electronics, 200, 2024-11-15T14:29:20.868Z
 /categories, https://fakestoreapi.com/products/category/jewelery, 200, 2024-11-15T14:29:21.404Z
